omega,cc,avg,worst,best
0.4,1.0,688.1289454951257,1164.8473652289128,340.78265827752125
0.5,1.0,578.2248177158824,987.0689538359511,237.2054193712113
0.6,0.5,769.0449581249574,1224.0017570230602,335.58753402154207
0.5,0.5,703.7027097274445,1073.9640552419232,335.5943991241629
0.7999999999999999,0.5,552.5961607925126,930.9474135672535,118.44168841021883
0.4,0.5,738.5152345147029,1579.404179503348,253.49137428997074
0.8999999999999999,0.5,424.74703124621425,815.9944993938079,118.43908213480381
0.7,0.5,708.5249059467218,1046.373037200874,118.43845370517897
0.7,1.0,509.0899951171661,750.123142943298,118.83113938102588
0.6,1.0,578.2896488555878,1105.786870762845,118.44116458002532
0.5,1.5,482.0368645369232,908.1463943764772,118.4383982559441
0.4,1.5,594.9537217465707,1164.984518904847,217.2018966728574
0.8999999999999999,1.0,153.43272170887946,454.32823717879774,0.07392625099691941
0.7999999999999999,1.0,417.881092982466,888.331351946104,118.43839825226883
0.6,1.5,541.7179544737432,948.0210322723747,217.14956519490124
0.7,1.5,390.8926100814202,809.4450390601523,6.363783131746459E-5
0.7999999999999999,1.5,225.03914386850835,631.6847814013599,6.363783086271724E-5
0.5,2.0,249.39814874905866,631.6847814013597,6.363783086271724E-5
0.6,2.0,192.79623768037013,513.3383253016343,6.363783086271724E-5
0.8999999999999999,1.5,199.01903388053677,376.8385981732936,38.15765883999666
0.4,2.0,328.38970922755396,769.8930173316662,6.363783131746459E-5
0.7,2.0,130.28223171371283,355.31506748114475,6.363783086271724E-5
0.7999999999999999,2.0,120.89323859566424,244.11507308020282,0.8032071060943053
0.8999999999999999,2.0,290.5577700890802,453.4322987451633,82.68720645514486
0.4,2.5,84.8833087491665,296.1067773963491,6.363783086271724E-5
0.5,2.5,98.80221898140374,236.87673996949843,7.56337941311358E-4
0.6,2.5,113.04364746453214,241.18717723152758,0.269271545419997
0.7999999999999999,2.5,340.17274318363224,451.904619266684,152.38133421539192
0.7,2.5,194.75936065333553,373.5429863378074,15.684105904806984
0.4,3.0,191.73636356977778,452.53129441067335,10.923198974117895
0.8999999999999999,2.5,344.148974722009,542.0592407392514,138.1062034307663
0.5,3.0,254.80813777926906,434.79979997648365,59.43091745528545
0.6,3.0,302.1879197636009,433.79853207258725,77.39805215093338
0.7,3.0,378.9777200684518,502.5515942473637,271.2108422165186
0.7999999999999999,3.0,390.4749908936519,578.2401514414776,183.42651304586116
0.8999999999999999,3.0,378.21440184273655,526.1303376716094,220.3717374752423
0.4,3.5,333.2138151037301,496.1947130203944,220.86543605360612
0.5,3.5,346.3798120433723,536.3724527140698,41.61818963124006
0.6,3.5,379.08617281066074,534.9200967252382,170.8585237953771
0.7,3.5,375.1031806724093,551.2582034298662,228.48791311847936
0.7999999999999999,3.5,391.93811848963793,590.0727546376545,153.56683365920844
0.8999999999999999,3.5,415.68955130550773,566.1376650066704,257.3953234341145
